red,blue
71,77
65,60
58,47
37,60
63,62
59,69
47,87
64,67
62,73
70,71
68,83
70,66
64,74
69,63
74,77
48,72
66,63
77,66
78,59
59,79
66,63
74,68
60,71
71,73
66,74
60,90
61,83
58,67
66,74
59,77
70,49
57,53
63,69
58,86
67,77
71,77
72,66
70,59
59,61
67,83
66,74
74,70
61,91
45,54
70,71
62,62
63,88
62,64
